Source Target Weight
爱马仕 胜美 5
爱马仕 王柏川 8
爱马仕 曲筱绡 5
邱莹莹 老江湖 4
邱莹莹 魏渭 249
邱莹莹 白主管 355
邱莹莹 路子走 8
邱莹莹 孤儿 16
邱莹莹 胜美 527
邱莹莹 喝咖啡 13
邱莹莹 包奕凡 5
邱莹莹 安迪 590
邱莹莹 小妹妹 8
邱莹莹 扬言 6
邱莹莹 贺卡 4
邱莹莹 樊母 16
邱莹莹 关雎尔 287
邱莹莹 王柏川 69
邱莹莹 明白 5
邱莹莹 曲筱绡 302
邱莹莹 应勤 27
邱莹莹 师兄 65
邱莹莹 赵启平 26
邱莹莹 姚滨 4
邱莹莹 邱父 20
邱莹莹 曲连杰 4
邱莹莹 老谭 22
邱莹莹 言语 5
孤儿 魏渭 51
孤儿 关雎尔 12
孤儿 安迪 53
孤儿 胜美 35
孤儿 邱莹莹 16
孤儿 师兄 6
胜美 樊家添 9
胜美 魏渭 651
胜美 邱莹莹 527
胜美 白主管 135
胜美 宝贝 4
胜美 钟点工 4
胜美 耿直 8
胜美 樊盛美 5
胜美 孤儿 35
胜美 麦克白 9
胜美 孙子 9
胜美 道谢 8
胜美 老胡 10
胜美 喝咖啡 5
胜美 樊胜 4
胜美 路子走 17
胜美 樊家 24
胜美 爱马仕 5
胜美 包奕凡 51
胜美 樊父 50
胜美 安迪 1302
胜美 小邱 7
胜美 高尔夫球 4
胜美 辟谣 4
胜美 小妹妹 17
胜美 包氏 5
胜美 闻声 6
胜美 谢谢 6
胜美 贺卡 10
胜美 雷雷 9
胜美 樊母 122
胜美 关雎尔 474
胜美 郎总 7
胜美 王柏川 454
胜美 明白 15
胜美 曲筱绡 556
胜美 应勤 6
胜美 老总 7
胜美 师兄 177
胜美 赵启平 122
胜美 王哥 10
胜美 姚滨 10
胜美 曲连杰 99
胜美 老谭 21
胜美 周旋 9
胜美 宝马车 7
胜美 连赢 9
胜美 谭宗明 4
老胡 曲筱绡 4
老胡 胜美 10
喝咖啡 邱莹莹 13
喝咖啡 安迪 9
喝咖啡 王柏川 5
喝咖啡 曲筱绡 5
喝咖啡 胜美 5
路子走 魏渭 19
路子走 邱莹莹 8
路子走 关雎尔 6
路子走 安迪 15
路子走 胜美 17
米雪儿 关雎尔 31
樊家 樊母 4
樊家 安迪 10
樊家 王柏川 10
樊家 曲筱绡 8
樊家 胜美 24
刁蛮 赵启平 5
刁蛮 曲筱绡 8
顾忌 老谭 4
张罗 关雎尔 4
张罗 关母 4
扬言 邱莹莹 6
曲筱筱 曲筱绡 6
魏国强 小明 13
魏国强 魏渭 71
魏国强 神智 22
魏国强 和老谭 5
魏国强 老谭 12
魏国强 黛山 38
魏国强 养老院 5
魏国强 安迪 278
魏国强 何云礼 20
魏国强 闻言 5
贺卡 赵启平 4
贺卡 邱莹莹 4
贺卡 王柏川 10
贺卡 胜美 10
贺卡 应勤 4
樊母 樊家添 4
樊母 魏渭 69
樊母 邱莹莹 16
樊母 胜美 122
樊母 孙子 4
樊母 樊家 4
樊母 安迪 91
樊母 雷雷 8
樊母 关雎尔 36
樊母 王柏川 17
樊母 曲筱绡 79
樊母 赵启平 26
樊母 樊父 22
保时捷 安迪 5
应勤 邱莹莹 27
应勤 贺卡 4
应勤 安迪 27
应勤 王柏川 4
应勤 胜美 6
应勤 赵启平 4
曲氏 安迪 4
曲氏 曲筱绡 4
曹操 安迪 10
曹操 曲连杰 4
曹操 曲筱绡 18
查清 曲筱绡 5
寒暄 赵启平 4
寒暄 曲筱绡 9
养老院 魏渭 12
养老院 魏国强 5
养老院 安迪 10
马路边 赵启平 5
马路边 曲筱绡 6
老谭拉 安迪 5
老江湖 邱莹莹 4
老江湖 白主管 4
樊盛美 胜美 5
宝贝 胜美 4
包奕凡 赵启平 15
包奕凡 包氏 16
包奕凡 邱莹莹 5
包奕凡 王哥 6
包奕凡 曲连杰 12
包奕凡 魏渭 18
包奕凡 关雎尔 7
包奕凡 安迪 169
包奕凡 王柏川 32
包奕凡 曲筱绡 62
包奕凡 胜美 51
关父 关雎尔 22
关父 安迪 9
关父 关母 13
关父 曲筱绡 7
包氏 包奕凡 16
包氏 安迪 32
包氏 王柏川 5
包氏 胜美 5
安抚 安迪 5
小妹妹 魏渭 19
小妹妹 关雎尔 6
小妹妹 安迪 15
小妹妹 胜美 17
小妹妹 邱莹莹 8
关雎尔 魏渭 317
关雎尔 王小波 4
关雎尔 邱莹莹 287
关雎尔 白主管 59
关雎尔 耿直 4
关雎尔 路子走 6
关雎尔 孤儿 12
关雎尔 麦克白 4
关雎尔 胜美 474
关雎尔 爸爸妈妈 8
关雎尔 米雪儿 31
关雎尔 樊父 9
关雎尔 包奕凡 7
关雎尔 关父 22
关雎尔 安迪 709
关雎尔 张罗 4
关雎尔 小妹妹 6
关雎尔 杨院长 4
关雎尔 樊母 36
关雎尔 王柏川 93
关雎尔 华丽 4
关雎尔 关母 43
关雎尔 曲筱绡 273
关雎尔 何立春 4
关雎尔 师兄 141
关雎尔 赵启平 70
关雎尔 小明 9
关雎尔 姚滨 9
关雎尔 曲连杰 8
关雎尔 老谭 20
关雎尔 明白 9
关雎尔 连赢 4
郎总 王柏川 5
郎总 曲筱绡 5
郎总 胜美 7
明白 赵启平 7
明白 邱莹莹 5
明白 关雎尔 9
明白 安迪 21
明白 王柏川 8
明白 曲筱绡 14
明白 胜美 15
过敏 魏渭 4
过敏 曲筱绡 6
爸爸妈妈 关雎尔 8
连赢 赵启平 7
连赢 魏渭 14
连赢 关雎尔 4
连赢 安迪 18
连赢 曲筱绡 15
连赢 胜美 9
赵启平 魏渭 132
赵启平 邱莹莹 26
赵启平 白主管 5
赵启平 麦克白 7
赵启平 胜美 122
赵启平 包奕凡 15
赵启平 刁蛮 5
赵启平 安迪 234
赵启平 师兄 12
赵启平 闻言 8
赵启平 贺卡 4
赵启平 樊母 26
赵启平 关雎尔 70
赵启平 王柏川 28
赵启平 明白 7
赵启平 曲筱绡 386
赵启平 应勤 4
赵启平 任凭 6
赵启平 姚滨 11
赵启平 曲连杰 5
赵启平 寒暄 4
赵启平 连赢 7
赵启平 马路边 5
赵启平 樊父 8
神智 魏国强 22
神智 魏渭 6
神智 安迪 38
神智 黛山 4
老谭 魏渭 53
老谭 邱莹莹 22
老谭 胜美 21
老谭 安迪 165
老谭 顾忌 4
老谭 何云礼 4
老谭 魏国强 12
老谭 关雎尔 20
老谭 曲筱绡 17
老谭 邱父 4
周旋 安迪 5
周旋 胜美 9
杨院长 小明 42
杨院长 魏渭 13
杨院长 敬老院 7
杨院长 关雎尔 4
杨院长 安迪 64
杨院长 曲筱绡 4
杨院长 原谅 4
宝马车 安迪 6
宝马车 王柏川 6
宝马车 曲筱绡 11
宝马车 胜美 7
阴阳水 魏渭 4
阴阳水 安迪 7
曲筱筱崴 安迪 9
曲筱筱崴 曲筱绡 4
和老谭 魏国强 5
和老谭 安迪 16
和老谭 何云礼 4
和老谭 曲筱绡 4
魏渭 邱莹莹 249
魏渭 白主管 11
魏渭 孤儿 51
魏渭 麦克白 14
魏渭 胜美 651
魏渭 黛山 18
魏渭 路子走 19
魏渭 王哥 4
魏渭 包奕凡 18
魏渭 安迪 1477
魏渭 闻言 9
魏渭 小妹妹 19
魏渭 魏国强 71
魏渭 樊母 69
魏渭 关雎尔 317
魏渭 王柏川 105
魏渭 曲筱绡 372
魏渭 过敏 4
魏渭 连赢 14
魏渭 师兄 122
魏渭 赵启平 132
魏渭 小明 20
魏渭 神智 6
魏渭 姚滨 11
魏渭 曲连杰 12
魏渭 老谭 53
魏渭 敬老院 4
魏渭 养老院 12
魏渭 杨院长 13
魏渭 阴阳水 4
王哥 魏渭 4
王哥 姚滨 15
王哥 曲连杰 6
王哥 包奕凡 6
王哥 安迪 12
王哥 王柏川 5
王哥 曲筱绡 24
王哥 胜美 10
钟点工 胜美 4
耿直 胜美 8
耿直 关雎尔 4
耿直 安迪 8
耿直 王柏川 6
耿直 师兄 7
大小便 樊父 5
道谢 王柏川 5
道谢 胜美 8
原谅 小明 9
原谅 杨院长 4
原谅 安迪 13
蓝山 安迪 4
安危 安迪 9
小姑娘 安迪 4
闻言 赵启平 8
闻言 魏渭 9
闻言 魏国强 5
闻言 曲连杰 4
闻言 安迪 7
闻言 曲筱绡 14
小邱 安迪 15
小邱 曲筱绡 8
小邱 胜美 7
辟谣 胜美 4
辟谣 安迪 6
何云礼 魏国强 20
何云礼 黛山 4
何云礼 安迪 28
何云礼 老谭 4
何云礼 和老谭 4
樊胜 胜美 4
包小包 安迪 8
关母 关父 13
关母 关雎尔 43
关母 安迪 21
关母 张罗 4
关母 曲筱绡 19
师兄 赵启平 12
师兄 魏渭 122
师兄 邱莹莹 65
师兄 耿直 7
师兄 孤儿 6
师兄 关雎尔 141
师兄 安迪 204
师兄 王柏川 56
师兄 曲筱绡 35
师兄 胜美 177
小明 魏渭 20
小明 魏国强 13
小明 杨院长 42
小明 敬老院 11
小明 关雎尔 9
小明 安迪 146
小明 曲筱绡 9
小明 原谅 9
小明 黛山 6
